IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
COBQ,BELLEVILLE QUINTE,73042,6150690,44.15936,-77.4398,95.7,MSC,CA,AUTO,Ontario
COCE,CEDAR SPRINGS,73036,6131418,42.26497,-82.0163,181.973,MSC,CA,AUTO,Ontario
COCP,CHAPLEAU AIRPORT,73135,6061366,47.81926,-83.3564,447.856,MSC,CA,AUTO,Ontario
COGE,GERALDTON AIRPORT,73071,6042719,49.78091,-86.9324,349.97,MSC,CA,AUTO,Ontario
COGI,GUELPH TURFGRASS INSTITUTE,73073,6143092,43.54187,-80.2221,336.52,MSC,CA,AUTO,Ontario
COGP,OGOKI POST,73045,6075788,51.65774,-85.9003,180.7,MSC,CA,AUTO,Ontario
COKN,KING CITY NORTH,73074,6154150,43.96353,-79.5741,362,MSC,CA,AUTO,Ontario
COSL,SIOUX LOOKOUT AIRPORT,73017,6037800,50.12312,-91.9047,387.5,MSC,CA,AUTO,Ontario
COSM,SAULT STE. MARIE AIRPORT,73070,6057593,46.47806,-84.5167,189,MSC,CA,AUTO,Ontario
COTL,BIG TROUT LAKE,71208,6010740,53.8164,-89.8916,219.5,MSC,CA,AUTO,Ontario
COTR,TERRACE BAY AIRPORT,73018,6048232,48.81527,-87.0917,287.972,MSC,CA,AUTO,Ontario
COTU,PETERBOROUGH TRENT U EXPERIMENTAL FARM,73180,6166457,44.35321,-78.2787,227.23,MSC,CA,AUTO,Ontario
COWW,WEAGAMOW LAKE,73046,6019400,52.94378,-91.316,294.374,MSC,CA,AUTO,Ontario
CTAG,FORT FRANCES RCS,71962,6022474,48.65118,-93.439,345.2,MSC,CA,AUTO,Ontario
CTBF,BRANTFORD AIRPORT,71602,6140942,43.13733,-80.3313,246.941,MSC,CA,AUTO,Ontario
CTBO,BROCKVILLE CLIMATE,71161,6100970,44.63523,-75.7516,122.425,MSC,CA,AUTO,Ontario
CTBT,BEATRICE CLIMATE,71694,6110607,45.13571,-79.3989,285.168,MSC,CA,AUTO,Ontario
CTCK,MOOSE CREEK WELLS,71635,6105397,45.25123,-74.963,86.162,MSC,CA,AUTO,Ontario
CTKG,KINGSTON CLIMATE,71820,6104142,44.218,-76.595,113.3,MSC,CA,AUTO,Ontario
CTKR,KENORA RCS,71151,6034073,49.7905,-94.3612,412.544,MSC,CA,AUTO,Ontario
CTLS,LAKE SUPERIOR PROVINCIAL PARK,71640,6054425,47.72305,-84.814,399.34,MSC,CA,AUTO,Ontario
CTMS,TIMMINS CLIMATE,71193,6078282,48.568,-81.378,296,MSC,CA,AUTO,Ontario
CTNK,ALGONQUIN PARK EAST GATE,71581,6080192,45.53569,-78.2617,400.078,MSC,CA,AUTO,Ontario
CTPM,PEMBROKE,71196,6106367,45.86007,-77.2524,161.521,MSC,CA,AUTO,Ontario
CTPQ,PETERBOROUGH TRENT U,71672,6166456,44.351,-78.295,217.2,MSC,CA,AUTO,Ontario
CTRA,RAWSON LAKE (AUT),71855,6036907,49.66415,-93.7329,434.742,MSC,CA,AUTO,Ontario
CTRY,MONO CENTRE,71098,6157000,44.0325,-80.0243,437.4,MSC,CA,AUTO,Ontario
CTSB,SUDBURY CLIMATE,71733,6068145,46.6324,-80.796,350,MSC,CA,AUTO,Ontario
CTTR,TOBERMORY RCS,71767,6128330,45.22414,-81.6351,211.264,MSC,CA,AUTO,Ontario
